"DBASS5GeneID","DBASS5GeneName","EnsemblGeneNumber"
"121","PDHA1","ENSG00000131828"
"122","PDHX","ENSG00000110435"
"123","PDS","ENSG00000091137"
"124","PFKM","ENSG00000152556"
"125","PGK1","ENSG00000102144"
"126","PHEX","ENSG00000102174"
"127","PKD1","ENSG00000008710"
"184","PKD2","ENSG00000118762"
"231","PKHD1","ENSG00000170927"
"128","PKLR","ENSG00000143627"
"129","PKP1","ENSG00000081277"
"185","PLEKHM1","ENSG00000225190"
"130","PLP1","ENSG00000123560"
"232","PMM2","ENSG00000140650"
"233","POMGnT1","ENSG00000085998"
"234","POMT2","ENSG00000009830"
"131","PRDM1","ENSG00000057657"
"132","PRKAR1A","ENSG00000108946"
"134","PROS1","ENSG00000184500"
"235","PRPF31","ENSG00000105618"
"135","PSEN1","ENSG00000080815"
"236","PTCH1","ENSG00000185920"
"136","PTEN","ENSG00000171862"
"137","PTHR1","ENSG00000160801"
"138","PYGM","ENSG00000068976"
"139","QDPR","ENSG00000151552"
"237","RAD51","ENSG00000051180"
"140","RB1","ENSG00000139687"
"186","RHCE","ENSG00000188672"
"238","RHD","ENSG00000187010"
"141","RPGR","ENSG00000156313"
"239","RS1","ENSG00000102104"
"187","RUNX1/AML1","ENSG00000159216"
"142","RYR1","ENSG00000196218"
"143","SBDS","ENSG00000126524"
"144","SCN5A","ENSG00000183873"
"240","SDHB","ENSG00000117118"
"241","SEDL/TRAPPC2","ENSG00000196459"
"146","SERPINA1","ENSG00000197249"
"147","SERPINF2","ENSG00000167711"
"188","SGCB","ENSG00000163069"
"242","SHANK3","ENSG00000251322"
"148","SIL1","ENSG00000120725"
"189","SLC12A3","ENSG00000070915"
"149","SLC35A1","ENSG00000164414"
"243","SLC40A1","ENSG00000138449"
"190","SNF5/INI1","ENSG00000099956"
"244","SOD1","ENSG00000142168"
"150","SOST","ENSG00000167941"
"245","SPG11","ENSG00000104133"
"151","SPTA1","ENSG00000163554"
"246","SUMF1","ENSG00000144455"
"152","TAZ","ENSG00000102125"
"153","TCIRG1","ENSG00000110719"
"154","TCN2","ENSG00000185339"
"247","TNFRSF1A","ENSG00000067182"
"155","TP53","ENSG00000141510"
"248","TSC1","ENSG00000165699"
"156","TSC2","ENSG00000103197"
"249","TYMP","ENSG00000025708"
"157","UGT1A1","ENSG00000167165"
"250","USH2A","ENSG00000042781"
"158","UT1","ENSG00000141469"
"159","VDR","ENSG00000111424"
"160","VHL","ENSG00000134086"
"251","WAS","ENSG00000015285"
"161","WASP","ENSG00000015285"
"162","WFS1","ENSG00000109501"
"163","WISP3","ENSG00000112761"
"252","WRN","ENSG00000165392"
"164","WT1","ENSG00000184937"
"165","XPA","ENSG00000136936"
"191","XPC","ENSG00000154767"
"192","ZDHHC9","ENSG00000188706"
